S.No,Det Type,Num Ln,EBT Vol,Option,NBT vol,Per Trucks,Passage Time,MaxGr6,MaxGr4
1,Induction Loops,2,400,1,400,5,1.1,40,30
2,Induction Loops,2,400,1,400,5,1.5,40,30
3,Induction Loops,2,400,1,400,5,1.8,40,30
4,Induction Loops,2,400,1,400,5,2.5,40,30
5,Induction Loops,2,400,1,400,5,3,40,30
6,Induction Loops,2,400,1,400,5,5,40,30
7,Induction Loops,2,800,1,400,5,1.1,40,30
8,Induction Loops,2,800,1,400,5,1.5,40,30
9,Induction Loops,2,800,1,400,5,1.8,40,30
10,Induction Loops,2,800,1,400,5,2.5,40,30
11,Induction Loops,2,800,1,400,5,3,40,30
12,Induction Loops,2,800,1,400,5,5,40,30
13,Induction Loops,2,1200,1,400,5,1.1,70,30
14,Induction Loops,2,1200,1,400,5,1.5,70,30
15,Induction Loops,2,1200,1,400,5,1.8,70,30
16,Induction Loops,2,1200,1,400,5,2.5,70,30
17,Induction Loops,2,1200,1,400,5,3,70,30
18,Induction Loops,2,1200,1,400,5,5,70,30
19,Induction Loops,2,400,3,400,5,1.1,40,30
20,Induction Loops,2,400,3,400,5,1.5,40,30
21,Induction Loops,2,400,3,400,5,1.8,40,30
22,Induction Loops,2,400,3,400,5,2.5,40,30
23,Induction Loops,2,400,3,400,5,3,40,30
24,Induction Loops,2,400,3,400,5,5,40,30
25,Induction Loops,2,800,3,400,5,1.1,40,30
26,Induction Loops,2,800,3,400,5,1.5,40,30
27,Induction Loops,2,800,3,400,5,1.8,40,30
28,Induction Loops,2,800,3,400,5,2.5,40,30
29,Induction Loops,2,800,3,400,5,3,40,30
30,Induction Loops,2,800,3,400,5,5,40,30
31,Induction Loops,2,1200,3,400,5,1.1,70,30
32,Induction Loops,2,1200,3,400,5,1.5,70,30
33,Induction Loops,2,1200,3,400,5,1.8,70,30
34,Induction Loops,2,1200,3,400,5,2.5,70,30
35,Induction Loops,2,1200,3,400,5,3,70,30
36,Induction Loops,2,1200,3,400,5,5,70,30
